colour,x,y,showSelected,PANEL,group,fill
#00FF00,0.16354298330774,0.330462674249987,4,1,1,#00FF00
#00FF00,0.0828438995410998,0.882043609610109,4,1,1,#00FF00
#00FF00,0.0818109733667877,0.513584713101825,4,1,1,#00FF00
#00FF00,0.245695807317253,0.632383368766982,4,1,1,#00FF00
#00FF00,0.586448228091368,0.555891414601264,4,1,1,#00FF00
#FFFF00,0.679968433478977,0.364455731542885,5,1,3,#FFFF00
#00FF00,0.644483078214346,0.457565155403036,5,1,1,#00FF00
#00FF00,0.891530318729696,0.691455348503737,5,1,1,#00FF00
#00FF00,0.802266426417523,0.571923522238934,5,1,1,#00FF00
#00FF00,0.72059728181414,0.655716886996801,5,1,1,#00FF00
#00FF00,0.734882464396397,0.423438012158961,5,1,1,#00FF00
#BEBEBE,0.676260628221147,0.567078488172406,5,1,4,#BEBEBE
#00FF00,0.796441770029863,0.559804523138499,5,1,1,#00FF00
#00FF00,0.360932552007294,0.597524772777338,5,1,1,#00FF00
#BEBEBE,0.481198049248665,0.336549734431805,5,1,4,#BEBEBE
#00FF00,0.696962225685018,0.685747087328091,5,1,1,#00FF00
#FFFF00,0.841665634512642,0.628789085775241,5,1,3,#FFFF00
#BEBEBE,0.507954708457324,0.227268338950817,5,1,4,#BEBEBE
#BEBEBE,0.195656492276102,0.455911563986121,5,1,4,#BEBEBE
#00FF00,0.144337555374127,0.375779087579473,5,1,1,#00FF00
#00FF00,0.846332173446943,0.63196562923617,5,1,1,#00FF00
#00FF00,0.729004561008234,0.169110063795379,5,1,1,#00FF00
#BEBEBE,0.59249039508555,0.417006107108355,5,1,4,#BEBEBE
#FFFF00,0.745168666978733,0.070317940413265,5,1,3,#FFFF00
#BEBEBE,0.541415546263564,0.785770501643129,5,1,4,#BEBEBE
#00FF00,0.62515368927243,0.677033601808545,5,1,1,#00FF00
#00FF00,0.824760559565269,0.598032471936921,5,1,1,#00FF00
#00FF00,0.245218476454938,0.356723785037562,5,1,1,#00FF00
#00FF00,0.746077928166324,0.621253790268747,5,1,1,#00FF00
#00FF00,0.768861164850836,0.448312890796663,5,1,1,#00FF00
#BEBEBE,0.16354298330774,0.330462674249987,5,1,4,#BEBEBE
#FFFF00,0.0828438995410998,0.882043609610109,5,1,3,#FFFF00
#FFFF00,0.0818109733667877,0.513584713101825,5,1,3,#FFFF00
#FFFF00,0.245695807317253,0.632383368766982,5,1,3,#FFFF00
#00FF00,0.586448228091368,0.555891414601264,5,1,1,#00FF00
#BEBEBE,0.679968433478977,0.364455731542885,6,1,4,#BEBEBE
#BEBEBE,0.644483078214346,0.457565155403036,6,1,4,#BEBEBE
#BEBEBE,0.891530318729696,0.691455348503737,6,1,4,#BEBEBE
#FFFF00,0.802266426417523,0.571923522238934,6,1,3,#FFFF00
#BEBEBE,0.72059728181414,0.655716886996801,6,1,4,#BEBEBE
#BEBEBE,0.734882464396397,0.423438012158961,6,1,4,#BEBEBE
#BEBEBE,0.676260628221147,0.567078488172406,6,1,4,#BEBEBE
#BEBEBE,0.796441770029863,0.559804523138499,6,1,4,#BEBEBE
#00FF00,0.360932552007294,0.597524772777338,6,1,1,#00FF00
#BEBEBE,0.481198049248665,0.336549734431805,6,1,4,#BEBEBE
#BEBEBE,0.696962225685018,0.685747087328091,6,1,4,#BEBEBE
#FF0000,0.841665634512642,0.628789085775241,6,1,2,#FF0000
#BEBEBE,0.507954708457324,0.227268338950817,6,1,4,#BEBEBE
#00FF00,0.195656492276102,0.455911563986121,6,1,1,#00FF00
#00FF00,0.144337555374127,0.375779087579473,6,1,1,#00FF00
#BEBEBE,0.846332173446943,0.63196562923617,6,1,4,#BEBEBE
#BEBEBE,0.729004561008234,0.169110063795379,6,1,4,#BEBEBE
#BEBEBE,0.59249039508555,0.417006107108355,6,1,4,#BEBEBE
#BEBEBE,0.745168666978733,0.070317940413265,6,1,4,#BEBEBE
#00FF00,0.541415546263564,0.785770501643129,6,1,1,#00FF00
#FFFF00,0.62515368927243,0.677033601808545,6,1,3,#FFFF00
#BEBEBE,0.824760559565269,0.598032471936921,6,1,4,#BEBEBE
#00FF00,0.245218476454938,0.356723785037562,6,1,1,#00FF00
#BEBEBE,0.746077928166324,0.621253790268747,6,1,4,#BEBEBE
#BEBEBE,0.768861164850836,0.448312890796663,6,1,4,#BEBEBE
#00FF00,0.16354298330774,0.330462674249987,6,1,1,#00FF00
#00FF00,0.0828438995410998,0.882043609610109,6,1,1,#00FF00
#BEBEBE,0.0818109733667877,0.513584713101825,6,1,4,#BEBEBE
#00FF00,0.245695807317253,0.632383368766982,6,1,1,#00FF00
#BEBEBE,0.586448228091368,0.555891414601264,6,1,4,#BEBEBE
#00FF00,0.679968433478977,0.364455731542885,7,1,1,#00FF00
#00FF00,0.644483078214346,0.457565155403036,7,1,1,#00FF00
#FFFF00,0.891530318729696,0.691455348503737,7,1,3,#FFFF00
#00FF00,0.802266426417523,0.571923522238934,7,1,1,#00FF00
#00FF00,0.72059728181414,0.655716886996801,7,1,1,#00FF00
#BEBEBE,0.734882464396397,0.423438012158961,7,1,4,#BEBEBE
#00FF00,0.676260628221147,0.567078488172406,7,1,1,#00FF00
#00FF00,0.796441770029863,0.559804523138499,7,1,1,#00FF00
#00FF00,0.360932552007294,0.597524772777338,7,1,1,#00FF00
#00FF00,0.481198049248665,0.336549734431805,7,1,1,#00FF00
#00FF00,0.696962225685018,0.685747087328091,7,1,1,#00FF00
#00FF00,0.841665634512642,0.628789085775241,7,1,1,#00FF00
#00FF00,0.507954708457324,0.227268338950817,7,1,1,#00FF00
#00FF00,0.195656492276102,0.455911563986121,7,1,1,#00FF00
#00FF00,0.144337555374127,0.375779087579473,7,1,1,#00FF00
#FFFF00,0.846332173446943,0.63196562923617,7,1,3,#FFFF00
#00FF00,0.729004561008234,0.169110063795379,7,1,1,#00FF00
#00FF00,0.59249039508555,0.417006107108355,7,1,1,#00FF00
#00FF00,0.745168666978733,0.070317940413265,7,1,1,#00FF00
#00FF00,0.541415546263564,0.785770501643129,7,1,1,#00FF00
#00FF00,0.62515368927243,0.677033601808545,7,1,1,#00FF00
#00FF00,0.824760559565269,0.598032471936921,7,1,1,#00FF00
#00FF00,0.245218476454938,0.356723785037562,7,1,1,#00FF00
#00FF00,0.746077928166324,0.621253790268747,7,1,1,#00FF00
#BEBEBE,0.768861164850836,0.448312890796663,7,1,4,#BEBEBE
#00FF00,0.16354298330774,0.330462674249987,7,1,1,#00FF00
#00FF00,0.0828438995410998,0.882043609610109,7,1,1,#00FF00
#00FF00,0.0818109733667877,0.513584713101825,7,1,1,#00FF00
#00FF00,0.245695807317253,0.632383368766982,7,1,1,#00FF00
#00FF00,0.586448228091368,0.555891414601264,7,1,1,#00FF00
#00FF00,0.679968433478977,0.364455731542885,8,1,1,#00FF00
#00FF00,0.644483078214346,0.457565155403036,8,1,1,#00FF00
#00FF00,0.891530318729696,0.691455348503737,8,1,1,#00FF00
#BEBEBE,0.802266426417523,0.571923522238934,8,1,4,#BEBEBE
#BEBEBE,0.72059728181414,0.655716886996801,8,1,4,#BEBEBE
#00FF00,0.734882464396397,0.423438012158961,8,1,1,#00FF00
#BEBEBE,0.676260628221147,0.567078488172406,8,1,4,#BEBEBE
#00FF00,0.796441770029863,0.559804523138499,8,1,1,#00FF00
#BEBEBE,0.360932552007294,0.597524772777338,8,1,4,#BEBEBE
#00FF00,0.481198049248665,0.336549734431805,8,1,1,#00FF00
#BEBEBE,0.696962225685018,0.685747087328091,8,1,4,#BEBEBE
#BEBEBE,0.841665634512642,0.628789085775241,8,1,4,#BEBEBE
#00FF00,0.507954708457324,0.227268338950817,8,1,1,#00FF00
#BEBEBE,0.195656492276102,0.455911563986121,8,1,4,#BEBEBE
#FFFF00,0.144337555374127,0.375779087579473,8,1,3,#FFFF00
#00FF00,0.846332173446943,0.63196562923617,8,1,1,#00FF00
#00FF00,0.729004561008234,0.169110063795379,8,1,1,#00FF00
#BEBEBE,0.59249039508555,0.417006107108355,8,1,4,#BEBEBE
#00FF00,0.745168666978733,0.070317940413265,8,1,1,#00FF00
#FFFF00,0.541415546263564,0.785770501643129,8,1,3,#FFFF00
#BEBEBE,0.62515368927243,0.677033601808545,8,1,4,#BEBEBE
#00FF00,0.824760559565269,0.598032471936921,8,1,1,#00FF00
#BEBEBE,0.245218476454938,0.356723785037562,8,1,4,#BEBEBE
#FF0000,0.746077928166324,0.621253790268747,8,1,2,#FF0000
#FFFF00,0.768861164850836,0.448312890796663,8,1,3,#FFFF00
#00FF00,0.16354298330774,0.330462674249987,8,1,1,#00FF00
#FF0000,0.0828438995410998,0.882043609610109,8,1,2,#FF0000
#00FF00,0.0818109733667877,0.513584713101825,8,1,1,#00FF00
#00FF00,0.245695807317253,0.632383368766982,8,1,1,#00FF00
#BEBEBE,0.586448228091368,0.555891414601264,8,1,4,#BEBEBE
#00FF00,0.679968433478977,0.364455731542885,9,1,1,#00FF00
#00FF00,0.644483078214346,0.457565155403036,9,1,1,#00FF00
#FFFF00,0.891530318729696,0.691455348503737,9,1,3,#FFFF00
#FFFF00,0.802266426417523,0.571923522238934,9,1,3,#FFFF00
#00FF00,0.72059728181414,0.655716886996801,9,1,1,#00FF00
#FFFF00,0.734882464396397,0.423438012158961,9,1,3,#FFFF00
#00FF00,0.676260628221147,0.567078488172406,9,1,1,#00FF00
#FFFF00,0.796441770029863,0.559804523138499,9,1,3,#FFFF00
#FFFF00,0.360932552007294,0.597524772777338,9,1,3,#FFFF00
#FFFF00,0.481198049248665,0.336549734431805,9,1,3,#FFFF00
#FFFF00,0.696962225685018,0.685747087328091,9,1,3,#FFFF00
#FFFF00,0.841665634512642,0.628789085775241,9,1,3,#FFFF00
#00FF00,0.507954708457324,0.227268338950817,9,1,1,#00FF00
#BEBEBE,0.195656492276102,0.455911563986121,9,1,4,#BEBEBE
#FF0000,0.144337555374127,0.375779087579473,9,1,2,#FF0000
#FFFF00,0.846332173446943,0.63196562923617,9,1,3,#FFFF00
#FFFF00,0.729004561008234,0.169110063795379,9,1,3,#FFFF00
#00FF00,0.59249039508555,0.417006107108355,9,1,1,#00FF00
#FFFF00,0.745168666978733,0.070317940413265,9,1,3,#FFFF00
